Customer_ID,Age,Gender,Employment_Status,Annual_Income,Dependents,Policy_Type,Policy_Duration,Premium_Amount,Coverage_Amount,Claim_Amount,Past_Claims,Time_Since_Last_Claim,Documents_Submitted,Fraud_Risk,Claim_Approval
1,56,Male,Employed,178721,3,Health,10,16888,27552,33684,6,118,7,Low,0
2,69,Female,Retired,32402,4,Auto,13,17035,321882,67808,2,56,3,Low,1
3,46,Female,Unemployed,122880,3,Life,18,12944,26438,59474,1,40,3,Low,0
4,32,Female,Self-Employed,139764,0,Auto,19,12021,278921,91288,1,26,2,Low,0
5,60,Male,Retired,160288,2,Health,17,3577,106794,13416,9,14,9,High,0
6,25,Female,Employed,51050,3,Property,8,4471,42651,99229,4,93,4,Medium,0
7,38,Female,Self-Employed,115808,4,Life,18,1504,102846,70539,7,70,9,Low,1
8,56,Female,Employed,70093,3,Life,7,8502,300465,98704,5,35,4,Low,1
9,36,Male,Unemployed,25050,1,Property,11,4160,280471,26693,5,109,8,Low,1
10,40,Male,Retired,66716,0,Auto,3,6989,492675,27033,6,23,1,Low,0
11,28,Female,Self-Employed,135455,2,Auto,2,15975,146214,1688,0,81,1,Low,0
12,28,Female,Unemployed,153510,1,Auto,19,10314,280873,55226,2,23,6,Low,1
13,41,Female,Retired,128686,4,Auto,11,19511,118705,16998,4,95,6,Low,1
14,53,Male,Retired,67431,3,Life,8,5208,214535,5907,6,75,7,Low,1
15,57,Male,Employed,36760,0,Health,11,6587,94127,34132,5,27,7,Low,1
16,41,Male,Employed,167545,3,Property,2,12184,340245,83435,0,74,3,High,0
17,20,Female,Unemployed,63815,3,Health,12,18809,28112,65915,8,2,9,Low,0
18,39,Male,Employed,160329,3,Health,9,6202,31880,45914,2,100,9,Low,0
19,19,Female,Unemployed,107986,3,Auto,6,9818,170058,73444,6,2,3,Low,1
20,41,Female,Unemployed,45634,0,Health,12,727,352705,41910,0,28,7,Low,1
21,61,Male,Unemployed,80403,1,Auto,18,4143,10707,54928,0,31,4,Medium,0
22,47,Female,Employed,66573,4,Auto,5,4228,224232,56285,0,53,6,Low,1
23,55,Male,Self-Employed,179720,1,Health,17,9926,374807,26117,3,37,6,Medium,1
24,19,Female,Unemployed,147099,0,Property,16,5728,421175,90158,0,94,5,Low,1
25,38,Female,Self-Employed,30296,4,Health,12,16216,62141,59280,0,55,6,Low,1
26,50,Male,Retired,41959,2,Health,2,12458,139363,48098,8,64,7,Low,1
27,29,Female,Employed,34570,1,Life,16,5021,121053,90735,7,100,2,Low,0
28,39,Female,Employed,55423,0,Auto,1,19005,245519,93657,4,20,7,Medium,1
29,61,Female,Self-Employed,100263,0,Life,2,7796,330672,73006,1,109,7,Medium,1
30,42,Female,Retired,168971,0,Property,13,17226,359043,19923,6,40,7,Low,1
31,66,Female,Retired,186857,4,Health,16,11623,22418,52908,0,105,5,High,0
32,44,Female,Unemployed,132446,3,Life,1,13427,474974,55431,8,19,3,Medium,1
33,59,Female,Employed,76963,2,Life,19,15694,261346,90295,0,117,5,Medium,1
34,45,Female,Retired,54341,4,Health,4,16364,292688,56485,2,59,1,Low,0
35,33,Male,Retired,25597,4,Health,3,10050,272712,27329,5,74,5,Medium,1
36,32,Male,Unemployed,161316,1,Auto,2,11113,322738,85469,3,58,3,High,0
37,64,Female,Unemployed,154868,2,Auto,12,5332,369347,76686,1,73,7,Medium,1
38,68,Female,Self-Employed,127127,0,Life,13,13927,364272,6242,4,54,4,Low,1
39,61,Male,Employed,95589,4,Health,18,3674,207554,42691,9,2,6,Low,1
40,69,Female,Retired,179600,2,Auto,5,13352,70176,80648,0,111,6,Low,0
41,20,Male,Self-Employed,169720,1,Auto,12,8554,415452,18217,0,117,4,Low,1
42,54,Male,Employed,103967,3,Property,19,17910,476995,76880,5,13,1,Medium,0
43,68,Male,Self-Employed,151607,2,Life,1,16629,154303,22070,8,44,3,Low,1
44,24,Female,Employed,68469,0,Life,9,1603,21851,89038,9,108,3,Low,0
45,38,Female,Employed,64493,4,Life,1,19567,58742,14510,6,94,6,Low,1
46,26,Female,Retired,65785,3,Health,18,5444,426793,59579,9,98,8,Low,1
47,56,Male,Employed,105017,1,Property,3,7464,41770,15860,3,59,2,Low,0
48,35,Male,Unemployed,127771,0,Auto,6,9087,42023,14151,7,117,6,Low,1
49,21,Male,Retired,149026,3,Property,4,11631,482567,17668,0,48,7,Low,1
50,42,Female,Unemployed,181941,1,Auto,12,13176,233568,41259,4,8,3,Low,1
51,31,Male,Self-Employed,50192,0,Auto,12,12023,481178,4538,1,53,1,Medium,0
52,67,Male,Self-Employed,99941,4,Property,5,10226,419173,5233,2,69,2,Low,0
53,26,Female,Employed,77544,1,Life,13,8736,227479,64843,9,92,5,High,0
54,43,Male,Employed,155475,3,Health,12,18863,370681,50227,3,51,1,Low,0
55,19,Male,Unemployed,187163,0,Property,4,15239,161983,16033,0,109,4,Low,1
56,37,Female,Unemployed,25017,2,Life,6,2364,481327,10087,4,62,6,Low,1
57,45,Female,Unemployed,190275,0,Life,19,10966,89900,13985,9,116,1,Low,0
58,64,Male,Self-Employed,68260,3,Health,6,19985,19321,24399,5,51,6,High,0
59,24,Female,Unemployed,65938,3,Health,6,3933,194927,41005,0,21,8,Low,1
60,61,Male,Retired,105265,2,Life,11,14922,389383,24084,3,54,1,Low,0
61,25,Female,Retired,124120,3,Health,14,9495,194952,90265,1,112,8,Low,1
62,64,Male,Self-Employed,188444,0,Life,3,18953,158071,22167,0,109,8,Low,1
63,52,Female,Unemployed,121728,1,Auto,8,13172,470676,59282,4,2,2,Medium,0
64,31,Male,Unemployed,34628,0,Health,4,5640,492480,37109,0,1,3,Low,1
65,34,Female,Employed,143239,3,Auto,16,14499,450972,29915,7,58,6,Medium,1
66,53,Female,Retired,163573,2,Health,18,14278,238735,5251,1,27,8,Medium,1
67,67,Female,Self-Employed,138165,2,Life,7,18363,177768,47268,4,36,5,Medium,1
68,57,Female,Unemployed,181203,4,Life,11,15608,487481,14221,2,119,9,Low,1
69,21,Female,Employed,109102,2,Life,8,15850,269337,47154,5,68,4,Low,1
70,19,Female,Self-Employed,109360,2,Life,6,2203,14889,49672,5,8,4,Medium,0
71,23,Female,Self-Employed,139346,3,Life,16,4816,340452,4778,7,61,8,High,0
72,59,Male,Retired,88348,1,Life,5,10704,10918,28532,4,31,5,Low,0
73,21,Male,Unemployed,118348,1,Health,6,5186,58043,72772,4,80,8,Low,0
74,46,Female,Self-Employed,112862,3,Health,6,5408,15195,67181,4,74,1,Medium,0
75,35,Female,Employed,29402,2,Auto,2,3730,361782,36007,8,101,5,Low,1
76,43,Male,Employed,111861,0,Property,7,2349,168890,92241,1,34,8,Low,1
77,61,Male,Self-Employed,146121,1,Health,9,4520,47623,43421,2,46,8,Medium,1
78,51,Female,Employed,127089,3,Health,15,8736,173450,40862,3,17,7,Low,1
79,27,Male,Self-Employed,46000,0,Property,14,17334,154185,26627,6,35,3,Low,1
80,53,Male,Employed,109795,2,Property,13,1759,288232,42486,9,18,7,Medium,1
81,31,Female,Self-Employed,132885,3,Auto,5,9695,385627,77439,0,24,3,Low,1
82,48,Female,Self-Employed,25988,1,Auto,17,5277,98163,5458,2,45,6,Low,1
83,65,Female,Self-Employed,76999,0,Life,5,8075,364207,85337,9,59,9,Low,1
84,32,Male,Employed,133174,0,Auto,3,18880,190497,85057,6,103,8,Low,1
85,25,Female,Self-Employed,80659,1,Auto,9,12180,12345,76453,7,94,4,Low,0
86,31,Female,Retired,188862,0,Property,9,14982,202723,43688,1,22,5,Low,1
87,40,Male,Self-Employed,115343,1,Health,4,5388,422673,32257,2,114,4,Low,1
88,57,Female,Unemployed,173190,3,Life,11,11724,199371,40533,6,77,6,Low,1
89,38,Male,Unemployed,142453,4,Auto,17,18378,243133,21924,6,26,8,Medium,1
90,33,Male,Retired,79938,2,Property,14,12804,98272,70590,2,34,6,High,0
91,62,Male,Self-Employed,25149,3,Life,10,2078,146762,12243,9,76,5,Low,1
92,35,Male,Unemployed,58079,2,Life,5,18119,172403,99432,4,54,9,Low,1
93,64,Male,Self-Employed,153556,2,Property,17,9707,136941,40403,6,35,7,Low,1
94,41,Male,Unemployed,133316,1,Auto,16,13504,309704,33768,2,87,3,Low,1
95,43,Female,Employed,68601,4,Auto,1,18443,491725,20619,7,96,2,Low,0
96,42,Female,Employed,63809,2,Auto,10,10260,221134,87852,3,112,5,Medium,1
97,62,Female,Retired,171863,2,Auto,12,10678,45656,41772,6,70,5,Medium,1
98,58,Male,Retired,177720,3,Life,18,8388,225710,56167,1,8,6,Low,1
99,46,Female,Self-Employed,182162,4,Health,1,5075,351670,98089,4,113,1,Medium,0
100,32,Male,Retired,110636,4,Life,12,4356,313700,2634,5,20,5,Low,1
101,62,Female,Self-Employed,150366,2,Life,6,4639,58149,26373,0,31,7,High,0
102,18,Male,Employed,121477,4,Property,8,4027,69664,99271,8,65,9,Low,0
103,42,Female,Employed,37857,3,Life,14,16370,25490,75631,8,43,3,High,0
104,24,Male,Unemployed,145305,1,Auto,5,13662,386607,54505,3,88,7,Low,1
105,26,Female,Self-Employed,194039,2,Property,4,6319,194608,45131,4,64,7,Medium,1
106,41,Male,Employed,73709,0,Property,16,4368,126927,2894,8,74,7,Medium,1
107,18,Female,Employed,199933,2,Property,6,15730,30745,39034,9,79,4,Medium,0
108,61,Male,Self-Employed,136839,2,Property,3,7804,243220,5850,1,86,3,Medium,1
109,25,Female,Unemployed,143307,1,Property,4,13261,445011,57902,4,14,1,Low,0
110,41,Female,Unemployed,142850,0,Auto,8,14627,81922,3061,3,26,6,Low,1
111,28,Female,Unemployed,40948,0,Health,14,10193,113077,25451,1,15,4,Low,1
112,68,Male,Unemployed,53782,0,Health,7,1314,19183,54677,1,45,8,Medium,0
